hour,2017-07-02,2017-07-03,2017-07-04,2017-07-05,2017-07-06,2017-07-07,2017-07-08,2017-07-09,2017-07-10,2017-07-11,2017-07-12,2017-07-13,2017-07-14,2017-07-15,2017-07-16,2017-07-17,2017-07-18,2017-07-19,2017-07-20,2017-07-21,2017-07-22,2017-07-23,2017-07-24,2017-07-25,2017-07-26,2017-07-27,2017-07-28,2017-07-29,2017-07-30,2017-07-31,2017-08-01,2017-08-02,2017-08-03,2017-08-04,2017-08-05,2017-08-06,2017-08-07,2017-08-08,2017-08-09,2017-08-10,2017-08-11,2017-08-12,2017-08-13,2017-08-14,2017-08-15,2017-08-16,2017-08-17,2017-08-18,2017-08-19,2017-08-20,2017-08-21,2017-08-22,2017-08-23,2017-08-24,2017-08-25,2017-08-26,2017-08-27,2017-08-28,2017-08-29,2017-08-30,2017-08-31,2017-09-01,2017-09-02,2017-09-03,2017-09-04,2017-09-05,2017-09-06,2017-09-07,2017-09-08,2017-09-09,2017-09-10,2017-09-11,2017-09-12,2017-09-13,2017-09-14,2017-09-15,2017-09-16,2017-09-17,2017-09-18,2017-09-19,2017-09-20,2017-09-21,2017-09-22,2017-09-23,2017-09-24,2017-09-25,2017-09-26,2017-09-27,2017-09-28,2017-09-29,2017-09-30,2017-10-01,2017-10-02,2017-10-03,2017-10-04,2017-10-05,2017-10-06,2017-10-07,2017-10-08,2017-10-09,2017-10-10,2017-10-11,2017-10-12,2017-10-13,2017-10-14,2017-10-15,2017-10-16,2017-10-17,2017-10-18,2017-10-19,2017-10-20,2017-10-21,2017-10-22,2017-10-23,2017-10-24,2017-10-25,2017-10-26,2017-10-27,2017-10-28,2017-10-29,2017-10-30,2017-10-31,2017-11-01,2017-11-02,2017-11-03,2017-11-04,2017-11-05,2017-11-06,2017-11-07,2017-11-08,2017-11-09,2017-11-10,2017-11-11,2017-11-12,2017-11-13,2017-11-14,2017-11-15,2017-11-16,2017-11-17,2017-11-18,2017-11-19,2017-11-20,2017-11-21,2017-11-22,2017-11-23,2017-11-24,2017-11-25,2017-11-26,2017-11-27,2017-11-28,2017-11-29,2017-11-30,2017-12-01,2017-12-02,2017-12-03,2017-12-04,2017-12-05,2017-12-06,2017-12-07,2017-12-08,2017-12-09,2017-12-10,2017-12-11,2017-12-12,2017-12-13,2017-12-14,2017-12-15,2017-12-16,2017-12-17,2017-12-18,2017-12-19,2017-12-20,2017-12-21,2017-12-22,2017-12-23,2017-12-24,2017-12-25,2017-12-26,2017-12-27,2017-12-28,2017-12-29,2017-12-30,2017-12-31
00:00:00,,19.1625,26.9925,17.9975,19.4975,18.27,18.1425,18.6325,18.72,21.26,19.735,18.97,18.9,19.8925,19.8825,20.275,19.99,18.185,18.4475,17.42,19.72,19.705,19.63,17.5875,18.32,18.2275,18.0125,17.5575,17.9175,17.9475,19.1675,21.3025,20.3625,23.265,17.975,19.5125,19.765,18.2075,18.1525,18.3025,22.205,18.835,17.7375,17.7025,18.24,18.63,18.2975,19.6925,18.1575,17.865,18.3575,19.2325,18.905,19.1025,19.45,19.3475,19.6475,19.54,19.03,18.9225,19.0825,19.345,19.2525,19.36,23.505,19.7675,19.5175,20.0825,21.34,18.2625,18.2325,21.345,18.0625,18.295,18.15,17.535,18.3275,18.215,18.0725,18.2825,17.9575,18.9225,18.595,18.28,18.465,18.3975,18.7625,18.515,18.785,21.8775,19.23,20.515,21.2625,20.2875,23.3075,20.595,18.0375,19.6225,18.115,18.08,19.855,20.0925,18.17,20.1075,23.0975,22.87,21.315,17.575,22.2725,19.0325,22.0575,18.5975,18.5225,18.2825,21.125,20.2125,20.1775,19.6875,17.7275,14.1,18.4575,18.695,20.8925,19.1975,19.76,22.83,20.125,17.875,19.255,18.0875,18.2775,18.3125,20.9725,18.5075,20.79,20.3175,20.71,20.27,19.6025,19.6325,18.85,18.6625,21.9475,22.0625,21.0525,19.3525,18.6175,18.505,18.6475,19.5875,21.7175,18.3375,21.06,18.6325,19.665,23.2175,18.835,17.6075,18.6425,17.455,18.2225,20.865,20.355,18.435,20.8,20.04,21.7525,19.1675,18.36,19.06,19.4325,19.5675,19.245,19.5575,16.41,17.3275,16.77,17.2525,16.5475,17.8375,16.9125,15.8875,16.1975
01:00:00,,19.14,26.76,17.8575,19.5175,18.0625,18.1,18.59,18.39,21.505,19.725,18.9175,18.4525,19.89,20.11,20.1075,20.1425,18.2075,18.165,17.21,19.3825,19.635,19.785,17.7625,18.1125,18.3425,17.6125,17.55,17.6725,17.59,19.5825,21.2925,20.42,22.735,17.9075,19.425,19.8725,18.1075,18.32,18.3925,22.15,18.885,17.5,17.5525,18.0875,18.49,18.455,19.6225,18.4125,18.255,18.3675,19.14,18.8625,18.5775,19.6625,19.2325,19.21,19.505,18.97,18.4825,18.9425,19.5575,18.8775,19.505,23.575,19.48,19.01,19.94,21.255,18.3,18.1025,21.545,18.47,18.125,18.2375,17.585,18.0125,18.185,17.575,18.1025,17.9575,18.945,18.635,17.895,18.2575,18.4025,18.69,18.54,18.3575,21.6625,19.345,20.4075,20.6325,20.015,22.985,20.555,18.24,19.6375,18.1875,17.9975,19.9825,20.24,18.3075,20.175,23.1075,22.705,21.885,17.7075,22.24,19.035,22.2875,18.5925,18.545,18.1575,21.1675,20.345,19.735,19.535,17.8175,18.9325,18.715,18.5275,19.6725,18.76,19.4925,22.58,20.21,18.165,19.1025,18.08,18.1525,18.44,20.955,18.51,21.155,20.29,21.095,20.7175,19.8275,19.5375,18.6,19.0175,21.66,21.535,20.3875,19.4725,18.7775,18.56,18.58,19.6975,21.7975,17.9725,21.175,18.6525,19.6675,23.0125,18.625,18.025,18.5875,17.8025,18.045,20.355,20.6125,18.6575,20.9525,19.9475,21.8075,19.14,18.4175,19.1075,19.095,20.3775,18.4875,19.47,16.575,16.57,17.38,17.1975,16.99,17.3525,17.0225,15.885,16.17
02:00:00,,19.24,26.695,18.195,19.6575,17.9175,18.23,18.6925,18.8025,21.09,19.42,18.8725,18.515,20.0975,19.7925,20.03,20.1225,17.985,18.3475,17.0625,19.3325,19.6325,19.695,17.5625,18.17,18.2775,17.655,17.635,17.6425,17.665,19.68,21.32,20.13,23.2175,18.215,19.0425,19.6975,18.24,18.3875,18.2025,22.19,18.69,17.5625,17.505,18.045,18.6175,18.485,19.24,18.35,17.9275,18.5275,19.01,19.1325,18.6225,19.89,18.98,19.3275,19.5775,19.015,18.815,18.865,19.705,18.84,19.335,23.3525,19.0275,19.2375,19.77,21.1025,18.075,18.3575,21.435,18.3225,18.4425,18.2225,17.7875,18.025,18.4125,17.8875,18.165,17.9675,19.0325,18.8775,18.28,18.265,18.3925,18.7575,18.45,18.765,21.23,19.33,20.4275,20.64,19.8175,23.2725,20.61,17.945,19.9325,18.105,18.275,20.2525,20.1425,18.1775,20.0825,23.075,22.925,21.835,17.5025,22.3525,19.43,22.455,18.8575,18.395,18.3775,21.1775,20.145,19.97,19.2425,17.8825,19.0675,18.4775,18.8325,19.7,19.2275,19.625,22.37,20.12,18.26,19.355,18.105,18.2775,17.9475,21.0825,18.5,20.7875,20.4325,20.6675,20.235,19.6825,19.53,18.6925,18.99,21.79,21.97,21.06,19.5225,18.59,18.1525,18.425,19.4825,21.5925,18.1925,21.03,18.5325,19.535,22.9975,19.1725,17.9475,18.5375,17.93,17.935,20.725,20.625,18.6875,20.9725,20.2275,21.7075,19.1575,18.4325,18.98,19.005,20.625,19.185,19.0225,17.035,16.865,17.465,17.0675,17.075,17.6375,16.9275,16.195,16.235
03:00:00,,19.8875,26.4525,17.965,18.96,18.34,18.0525,19.0275,18.7675,21.2875,19.9325,18.58,18.6425,20.0325,20.21,19.765,19.7475,18.365,18.4725,17.275,19.305,19.69,19.735,17.645,18.46,18.395,17.66,17.5625,17.625,17.165,19.725,21.1525,20.085,23.1125,18.16,19.15,19.7775,18.3275,18.5925,18.17,22.2925,18.665,17.57,17.46,18.35,18.56,18.4525,19.355,18.4275,17.985,18.4875,19.1425,19.035,18.6375,19.8425,19.265,19.055,19.4425,19.08,18.635,19.3775,19.695,18.9575,19.2875,23.5125,19.0775,18.9875,19.885,21.3275,18.1975,17.8175,21.7925,18.1775,18.115,18.27,17.5225,18.305,18.02,17.9375,18.1125,17.865,18.83,18.765,18.265,18.29,18.5225,18.97,18.525,18.4925,21.7425,19.195,20.635,20.9825,20.3075,23.45,20.885,17.845,20.145,17.9175,17.795,19.9825,20.3625,18.2975,20.1625,23.0075,22.84,21.86,17.8,22.0925,19.2175,21.74,18.96,18.5,18.115,21.2675,20.32,19.9775,19.46,17.9975,19.015,18.6525,19.01,19.6325,19.455,19.7925,22.3425,20.35,18.2325,19.46,17.9275,18.12,18.75,20.66,18.52,20.6325,20.5225,20.9875,20.08,19.835,19.4775,18.74,19.0825,21.97,21.68,21.2725,19.595,18.5875,18.485,18.5625,19.9975,21.8675,18.0775,21.645,18.3025,19.7875,22.6825,18.9925,17.6575,18.3775,17.8625,18.17,19.91,20.65,18.7425,21.1575,20.5575,21.45,19.155,18.6025,19.2,19.205,20.435,19.52,19.7425,17.1825,17.335,16.48,17.2275,16.975,17.605,17.19,15.9875,16.0525
04:00:00,,20.41,26.095,16.4675,16.6225,15.8325,17.81,18.685,18.5125,20.9625,19.2375,16.315,16.815,18.005,18.7175,17.735,17.74,16.605,16.94,16.0575,17.6375,19.155,18.24,16.22,18.4975,16.8275,16.42,16.6,16.7925,16.51,19.455,21.16,20.3275,23.0075,16.43,17.21,17.1725,18.105,18.32,18.1825,22.2875,18.62,17.38,17.32,17.865,18.5075,18.2625,19.285,18.3525,17.84,18.235,18.95,18.715,18.49,19.635,19.1475,19.3975,19.1275,18.865,18.5525,18.9925,20.655,19.24,19.4925,23.55,17.03,16.4925,17.46,20.7375,18.135,18.05,21.455,18.2575,17.9625,18.145,17.2725,18.0425,18.25,17.82,18.225,17.82,18.67,18.9,18.2375,18.1725,18.0775,18.785,18.47,18.4,21.775,18.825,20.88,20.64,20.295,23.2125,18.96,17.285,18.69,17.535,18.2075,19.8875,19.905,18.3125,20.24,22.5475,22.8675,21.8125,17.515,22.1775,18.8475,22.14,18.7475,18.4125,18.14,20.94,20.0725,19.685,19.165,17.9125,18.4775,18.495,18.68,19.375,19.345,19.8625,22.245,18.11,15.345,17.4225,17.8075,17.8925,18.31,21.015,18.5125,20.7175,20.21,20.8175,20.285,19.7475,19.3325,18.7525,18.8725,22.01,22.13,20.9075,19.1525,18.52,18.2,18.5725,19.5325,21.705,18.0,21.1925,18.2425,19.835,22.5725,17.3175,15.1125,16.2425,17.5525,17.7525,20.24,20.1375,18.525,20.89,20.185,21.515,18.56,18.4075,18.9025,18.86,20.4925,18.665,19.1175,17.1225,17.3175,17.1425,17.1725,16.805,17.3175,17.1,15.66,16.1275
05:00:00,,20.2075,27.8375,14.5575,18.2325,18.8575,15.4875,21.1425,18.41,20.94,19.8575,19.3975,19.665,17.265,17.445,19.5675,20.45,18.23,18.605,17.96,16.8325,16.5975,18.645,17.68,19.405,18.6625,17.7,15.11,15.1825,17.1775,19.6125,21.05,20.02,22.095,18.635,20.83,16.9,19.9275,22.675,18.115,21.885,18.2975,15.11,17.4975,19.7975,20.1825,19.035,18.435,16.0775,16.41,19.155,20.92,20.185,19.775,23.11,17.625,18.0125,21.555,23.1625,20.51,21.3,21.2825,18.96,19.245,22.4425,20.6725,20.3725,16.8125,21.07,17.79,21.27,21.44,18.1125,20.805,20.9925,21.1575,18.085,18.035,20.4975,21.6975,20.875,21.6425,22.305,18.19,18.37,21.4175,21.5675,22.2225,21.875,24.805,19.005,20.595,20.4375,20.1475,24.905,21.245,15.225,19.885,16.5225,18.0875,23.4825,19.9675,18.2575,23.7625,22.895,22.505,22.1675,21.9675,24.6425,21.9275,23.8975,18.785,18.29,21.3825,23.605,22.2125,22.7875,21.9975,17.7175,18.67,18.545,18.5,19.2975,19.035,19.675,24.9,20.5675,15.055,19.675,19.7525,21.67,20.695,20.905,18.2975,20.4425,19.915,20.5575,20.155,19.4575,19.2775,18.51,18.9725,21.59,21.7225,21.1025,18.8475,18.4475,18.36,18.5475,19.7125,21.665,17.9025,21.23,18.1075,19.7425,24.555,21.13,17.68,17.825,15.1275,21.965,23.12,20.3,18.63,20.8875,20.07,21.55,18.755,18.2025,18.8225,19.05,20.4175,18.895,19.175,17.04,17.2,17.28,16.79,16.7975,17.22,17.0725,16.1,15.89
06:00:00,,24.735,30.2275,14.91,20.54,21.6525,15.6225,23.9625,17.7975,25.725,22.9825,23.01,23.27,17.5225,17.53,22.01,23.6325,20.575,20.5275,19.95,17.15,16.995,20.0725,20.57,22.7075,22.995,21.0525,15.0875,15.2475,20.375,19.55,24.9975,23.825,20.08,24.0975,25.5625,16.985,26.96,26.5475,17.72,24.875,22.4275,15.34,20.81,22.91,21.9525,21.8325,21.1525,15.5125,15.3375,22.15,24.3475,23.4875,22.77,29.9575,17.725,17.0075,23.065,25.0775,24.9825,25.675,25.71,23.9875,23.0975,20.57,24.8125,26.645,17.2175,22.65,15.535,26.5425,24.27,17.9925,21.9625,23.915,25.775,16.0525,15.605,27.8225,29.215,28.635,31.2125,29.625,16.4675,16.985,25.0775,27.2275,27.1125,26.3825,31.9325,17.815,24.55,25.52,25.3575,28.29,22.1925,15.38,20.965,20.795,15.69,30.47,24.285,18.0625,27.0325,23.2725,22.4875,23.445,29.705,29.3025,28.215,30.1375,18.7325,18.425,27.895,32.385,29.13,31.335,35.05,17.8425,17.8125,18.895,22.2275,23.86,19.0275,19.49,30.915,24.9075,15.62,24.535,24.985,22.825,33.3775,20.79,22.8025,23.7975,23.93,23.3125,24.23,23.9725,19.1,18.7925,23.1875,26.475,24.6825,24.675,23.435,18.38,18.205,23.3975,23.5825,24.47,22.1175,26.4975,18.2025,19.215,27.435,26.79,21.2325,20.8875,15.025,25.73,29.4425,20.17,21.885,23.5225,23.245,24.4525,18.8075,18.1875,21.365,22.07,22.3125,21.94,21.8,16.7425,17.295,16.405,17.01,16.4075,17.2025,16.8575,15.955,16.005
07:00:00,,27.95,37.0625,17.5325,36.4025,32.425,16.8375,37.655,16.69,33.5225,29.16,34.5225,33.1725,18.39,17.7175,31.35,33.82,29.6825,30.3575,28.965,17.795,16.9325,29.02,32.295,31.0175,34.9,29.945,16.1725,15.5475,31.3575,19.47,29.9525,27.4375,23.3375,34.24,37.135,18.6225,32.8675,37.205,15.79,33.1675,28.26,15.33,32.935,33.8325,35.695,34.11,32.9675,16.8875,15.8175,35.6325,35.065,33.3675,34.265,36.21,19.2625,16.9875,33.765,35.895,31.1725,36.165,35.425,29.725,26.95,22.455,38.5525,33.4525,17.4,35.3325,16.7575,31.6275,32.2625,18.03,32.7975,32.2675,30.9275,17.095,15.65,29.0925,35.6775,32.36,38.9,41.165,16.9275,16.0475,32.5275,36.735,35.925,37.6525,37.42,18.2225,32.3425,35.47,29.465,38.415,32.15,16.7875,33.1075,30.0225,15.9225,35.755,34.0175,18.21,34.64,21.86,20.4825,18.59,38.52,35.5025,38.725,37.7625,17.8,16.42,36.1225,39.775,37.5475,39.92,37.2275,18.055,16.1725,19.6625,31.44,33.2525,18.3925,17.4275,36.9,36.32,15.7875,35.05,35.1375,34.7325,36.5475,20.195,27.905,32.41,34.265,30.955,36.58,31.2675,19.0425,18.1325,27.8075,32.6075,32.695,31.6425,34.585,18.035,18.13,29.8325,30.3475,30.3875,28.73,32.995,18.21,17.005,39.0075,39.34,34.2675,31.775,16.2575,36.215,37.4875,19.39,28.4925,33.875,28.925,34.755,18.8825,18.915,25.615,28.3275,31.0025,27.395,27.585,16.735,17.9675,17.0075,17.1025,16.55,16.8925,16.92,16.4675,16.555
08:00:00,,41.215,43.3875,16.7075,42.995,36.905,17.0625,45.7575,17.5675,41.3125,41.005,39.0225,37.4675,18.5375,17.1575,41.2525,41.165,36.6575,41.01,38.445,18.0225,16.8075,34.285,40.41,38.49,42.8325,36.3325,16.5475,15.795,36.7625,21.3175,34.945,40.375,23.325,41.7875,41.37,18.7825,40.0025,41.5425,15.8525,37.415,36.42,14.7975,39.575,39.0975,43.3925,39.0925,36.4575,16.53,15.7875,42.1025,42.1025,39.4475,40.9675,40.465,19.05,16.7275,39.86,41.8825,38.685,41.425,42.7325,40.115,40.1725,21.9275,45.7875,38.55,17.7725,38.31,16.7925,40.155,41.19,20.135,39.6075,38.905,35.625,18.2525,15.71,40.8775,43.565,40.9975,44.2175,48.485,17.425,16.66,40.015,43.4975,43.4775,43.715,43.0425,18.7225,41.9575,41.7575,39.95,41.8125,37.1825,17.1325,38.96,35.465,15.7825,44.7225,36.6475,19.5675,39.64,21.4925,20.2075,18.62,41.875,43.6325,46.4525,46.4825,18.36,15.385,44.995,41.6325,45.6675,48.2075,43.1525,17.375,16.21,18.9875,40.1375,43.76,19.74,19.955,45.1475,46.3125,15.545,42.2425,38.0475,46.1875,42.8875,19.9825,37.8725,34.6725,38.51,37.12,38.785,44.9775,18.155,16.6275,37.3875,40.7775,37.2025,40.4475,40.1475,17.85,15.6025,40.8375,41.86,39.525,40.675,43.9425,18.0175,19.095,41.4725,47.3575,41.6,35.055,16.3,43.2825,40.1575,18.125,40.3425,40.3575,39.58,39.9625,21.5275,21.0575,36.87,37.085,37.41,37.8025,36.4875,17.075,16.7175,19.94,19.425,22.225,19.585,19.6025,16.53,15.33
09:00:00,,46.7175,46.765,16.3075,44.6875,38.055,17.265,46.1625,18.0325,49.51,43.6925,44.0175,43.3725,18.875,17.71,41.0825,44.5525,41.605,44.185,37.9225,18.3325,17.125,37.9825,46.0375,43.825,47.22,38.435,16.6025,16.0175,38.08,19.1025,47.3825,48.745,23.455,44.2825,42.3475,18.9925,43.295,41.7025,15.7875,41.8925,40.5475,15.0375,41.13,43.48,46.205,43.33,39.4775,16.7075,16.0675,47.6775,46.6575,42.7625,44.225,41.9825,19.24,16.88,40.595,42.8475,41.2,44.635,48.79,46.58,44.9325,22.26,49.365,40.665,18.05,42.03,17.5225,44.4775,46.335,18.8175,44.7775,41.985,37.9625,18.5875,15.66,42.1875,46.755,45.27,45.79,50.855,18.1175,16.675,40.8425,43.895,45.075,46.015,43.5375,18.9275,44.555,45.37,44.3325,46.1275,42.465,17.26,44.07,38.4975,15.5575,46.41,41.2,18.6425,43.47,21.76,20.2025,17.685,45.875,43.9125,49.9725,46.585,18.19,15.71,49.6775,46.075,45.26,49.7625,46.19,17.4175,16.4575,19.995,47.28,49.76,20.2175,19.56,48.74,45.6675,15.6475,40.455,41.03,45.9425,46.545,19.775,43.6675,45.0325,47.4075,44.0,43.4175,47.9375,18.695,16.88,44.755,49.2225,44.7325,45.77,45.79,18.0475,15.8375,49.665,48.4525,43.8875,45.685,48.5625,17.5925,18.5525,44.71,49.63,45.29,37.4975,16.285,42.4775,44.1125,17.9775,44.4475,46.4025,45.0675,46.1325,20.4025,19.4725,42.315,45.095,43.605,42.3375,39.6425,17.7,16.4575,17.385,17.91,20.6175,18.4475,18.0375,16.785,15.765
